h,ang,4,沆,hàng,a fog
z,ang,1,脏,zāng,dirty; filthy
z,ang,3,驵,zǎng,powerful horse
z,ang,4,葬,zàng,to bury (the dead)
s,ang,1,丧,sāng,mourning; funeral
s,ang,3,嗓,sǎng,throat; voice
s,ang,4,丧,sàng,to lose something abstract but important
c,ang,1,舱,cāng,cabin
c,ang,2,藏,cáng,to conceal; to hide away
c,ang,4,䢢,càng,to pass
zh,ang,1,张,zhāng,to open up
zh,ang,3,长,zhǎng,chief
zh,ang,4,仗,zhàng,war; battle
sh,ang,1,伤,shāng,to injure
sh,ang,3,赏,shǎng,to bestow (a reward)
sh,ang,4,上,shàng,on top
ch,ang,1,昌,chāng,prosperous
ch,ang,2,常,cháng,always
ch,ang,3,场,chǎng,stage
ch,ang,4,唱,chàng,to sing
r,ang,2,瀼,ráng,dewy
r,ang,3,壤,rǎng,soil; earth
r,ang,4,让,ràng,to yield
,ao,1,凹,āo,depressed
,ao,2,熬,áo,to cook on a slow fire
,ao,3,袄,ǎo,coat;
,ao,4,奥,ào,obscure
b,ao,1,包,bāo,to cover
b,ao,2,薄,báo,thin
b,ao,3,宝,bǎo,jewel; gem; treasure
b,ao,4,抱,bào,to hold
p,ao,1,抛,pāo,to throw
p,ao,2,刨,páo,to dig
p,ao,3,跑,pǎo,to run
p,ao,4,泡,pào,bubble
m,ao,1,猫,māo,cat
m,ao,2,毛,máo,hair
m,ao,3,泖,mǎo,still water
m,ao,4,媢,mào,envious
d,ao,1,刀,dāo,knife
d,ao,3,倒,dǎo,to fall
d,ao,4,道,dào,road; path
t,ao,1,弢,tāo,to cover
t,ao,2,逃,táo,to escape
t,ao,3,讨,tǎo,to invite
t,ao,4,套,tào,to cover
n,ao,1,孬,nāo,no good
n,ao,2,䛝,náo,to puzzle
n,ao,3,脑,nǎo,brain; mind
n,ao,4,闹,nào,noisy
l,ao,1,捞,lāo,to fish up
l,ao,2,牢,láo,firm
l,ao,3,咾,lǎo,a sound
l,ao,4,涝,lào,flooded
g,ao,1,槔,gāo,water pulley
g,ao,3,搞,gǎo,to do
g,ao,4,告,gào,to say
k,ao,1,尻,kāo,coccyx
k,ao,3,烤,kǎo,to roast
k,ao,4,䎋,kào,fly
h,ao,1,嚆,hāo,sound; noise
h,ao,2,嗥,háo,to howl (like a wolf)
h,ao,3,好,hǎo,good
h,ao,4,号,hào,day of a month
z,ao,1,傮,zāo,"finish, to go around"
z,ao,2,凿,záo,chisel
z,ao,3,早,zǎo,early
z,ao,4,造,zào,to make
s,ao,1,慅,sāo,agitated
s,ao,3,扫,sǎo,to sweep
s,ao,4,喿,sào,chirping of birds
c,ao,1,糙,cāo,rough
c,ao,2,槽,cáo,trough
c,ao,3,草,cǎo,grass
c,ao,4,鄵,cào,ancient place name
zh,ao,1,招,zhāo,to recruit
zh,ao,2,着,zháo,to touch
zh,ao,3,找,zhǎo,to try to find
zh,ao,4,照,zhào,according to
sh,ao,1,烧,shāo,to burn; to cook
sh,ao,2,韶,sháo,excellent; harmonious
sh,ao,3,少,shǎo,few; less
sh,ao,4,哨,shào,a whistle; sentry
ch,ao,1,抄,chāo,to make a copy
ch,ao,2,潮,cháo,tide
ch,ao,3,吵,chǎo,to quarrel
r,ao,2,饶,ráo,rich
r,ao,3,㑱,rǎo,kind of monkey
r,ao,4,绕,rào,to wind
,e,1,婀,ē,graceful
,e,2,鹅,é,goose
,e,3,頋,ě,to care for
,e,4,饿,è,to be hungry
d,e,1,嘚,dē,for the sound of horsehoofs
d,e,2,得,dé,to obtain
t,e,4,特,tè,special
n,e,4,疒,nè,sick
l,e,4,乐,lè,happy
g,e,1,割,gē,to cut
g,e,2,隔,gé,to separate
g,e,3,哿,gě,excellent
g,e,4,个,gè,individual
k,e,1,颗,kē,corn grains
k,e,2,咳,ké,cough
k,e,3,渴,kě,thirsty
k,e,4,克,kè,to be able to
h,e,1,喝,hē,to drink;
h,e,2,河,hé,river
h,e,4,喝,hè,to shout
z,e,2,泽,zé,pool
z,e,4,昃,zè,afternoon
s,e,1,閪,sē,to lose item
s,e,4,色,sè,color
c,e,4,册,cè,book
zh,e,1,遮,zhē,to cover up
zh,e,2,折,zhé,to break
zh,e,3,褶,zhě,pleat
zh,e,4,这,zhè,this
sh,e,1,奢,shē,extravagant
sh,e,2,蛇,shé,snake
sh,e,3,舍,shě,to give up
sh,e,4,射,shè,to shoot
ch,e,1,车,chē,car
ch,e,3,扯,chě,to pull
ch,e,4,撤,chè,to remove
r,e,3,喏,rě,to salute; make one's curtsy
r,e,4,热,rè,to warm up;
,ei,1,诶,ēi,hey (to call somebody)
,ei,2,诶,éi,hey (to express surprise)
,ei,3,诶,ěi,hey (to express disagreement)
,ei,4,诶,èi,hey (to express agreement)
b,ei,1,杯,bēi,cup
b,ei,3,北,běi,north
b,ei,4,倍,bèi,double
p,ei,1,柸,pēi,to hate
p,ei,2,陪,péi,to accompany
p,ei,4,配,pèi,to join
m,ei,2,没,méi,have not
m,ei,3,每,měi,each; every
m,ei,4,妹,mèi,younger sister
f,ei,1,飞,fēi,to fly
f,ei,2,肥,féi,fat
f,ei,3,朏,fěi,crescent moon
f,ei,4,费,fèi,to cost
d,ei,3,得,děi,to have to
n,ei,3,哪,něi,which
n,ei,4,内,nèi,inside
l,ei,1,勒,lēi,to strap tightly; to bind
l,ei,2,雷,léi,thunder
l,ei,3,儡,lěi,puppet
l,ei,4,泪,lèi,tears
g,ei,3,给,gěi,to; for
h,ei,1,黑,hēi,black
z,ei,2,贼,zéi,thief
